Page,Text,Font Name,Font Size,Is Heading,Text Type
15, 6.  WORK PROGRESS,Times New Roman,44.0,Yes,Title
15,10/03/2025,Default,0.0,No,Normal
15,"Batch B10(21119,21121,21125)",Times New Roman,12.0,Yes,Normal
15,15,Default,0.0,No,Text
15,Frontend Development: 70% completed.,Times New Roman,24.0,Yes,Normal
15,Backend Development: Initiated and currently in progress.,Times New Roman,24.0,Yes,Normal
15,Data Scraping: Successfully completed from the Peerlist website.,Times New Roman,24.0,Yes,Normal
15,Algorithm Optimization: Implementation of RAG for optimized referral recommendations has begun.,Times New Roman,24.0,Yes,Normal
16, 7. Demonstration,Times New Roman,44.0,Yes,Title
16,10/03/2025,Default,0.0,No,Normal
16,"Batch B10(21119,21121,21125)",Times New Roman,12.0,Yes,Normal
16,16,Default,0.0,No,Text
17,7. Demonstration,Calibri,44.0,Yes,Title
17,IIITU-HP-India-<Event Identifier> ,Default,0.0,No,Normal
17,17,Default,0.0,No,Text
17,10/03/2025,Default,0.0,No,Normal
18,Demonstration,Calibri,44.0,Yes,Title
18,IIITU-HP-India-<Event Identifier> ,Default,0.0,No,Normal
18,18,Default,0.0,No,Text
18,10/03/2025,Default,0.0,No,Normal
19,Demonstration,Calibri,44.0,Yes,Title
19,IIITU-HP-India-<Event Identifier> ,Default,0.0,No,Normal
19,19,Default,0.0,No,Text
19,10/03/2025,Default,0.0,No,Normal
20,  REFRENCES,Times New Roman,44.0,Yes,Title
20,10/03/2025,Default,0.0,No,Normal
20,"Batch B10(21119,21121,21125)",Times New Roman,12.0,Yes,Normal
20,20,Default,0.0,No,Text
20, Android Developer Documentation. URL: https://developer.android.com/,Times New Roman,24.0,Yes,Normal
20, Node.js. URL: https://nodejs.org/,Times New Roman,24.0,Yes,Normal
20,Stack Overflow. URL: https://stackoverflow.com/,Times New Roman,24.0,Yes,Normal
20,Figma. URL: Figma,Times New Roman,24.0,Yes,Normal
21,10/03/2025,Default,0.0,No,Normal
21,"Batch B10(21119,21121,21125)",Times New Roman,12.0,Yes,Normal
21,<number>,Default,0.0,No,Text
21,Thanks!,Times New Roman,44.0,Yes,Title
